Bus Hound 6.01 capture on Windows XP Service Pack 3 (x86). Complements of www.perisoft.net

command

  Phase  - Phase Type
            IN    Data in transfer           
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Cmd... - Position in the captured data


Phase  Data                                                                                                    Cmd.Phase.Ofs(rep)
IN     24                                                                                                           400.1.0        
IN     00                                                                                                           401.1.0(2)     
IN     05                                                                                                           403.1.0        
IN     00                                                                                                           404.1.0        
IN     ff                                                                                                           405.1.0(8)     
IN     01                                                                                                           413.1.0        
IN     ff                                                                                                           414.1.0        
IN     00                                                                                                           415.1.0(4)     
IN     12                                                                                                           419.1.0        
IN     0b                                                                                                           420.1.0        
IN     0d                                                                                                           421.1.0        
OUT    7e 9d 32 81  10 25 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 85       422.1.0        
       01 0d                                                                                                        422.1.32       
IN     7e                                                                                                           423.1.0        
IN     9d                                                                                                           424.1.0        
IN     32                                                                                                           425.1.0        
IN     81                                                                                                           426.1.0        
IN     10                                                                                                           427.1.0        
IN     16                                                                                                           428.1.0        
IN     04                                                                                                           429.1.0        
IN     05                                                                                                           430.1.0        
IN     02                                                                                                           431.1.0        
IN     17                                                                                                           432.1.0        
IN     45                                                                                                           433.1.0        
IN     14                                                                                                           434.1.0        
IN     24                                                                                                           435.1.0        
IN     00                                                                                                           436.1.0(2)     
IN     05                                                                                                           438.1.0        
