Bus Hound 6.01 capture on Windows XP Service Pack 3 (x86). Complements of www.perisoft.net

command

  Phase  - Phase Type
            IN    Data in transfer           
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Cmd... - Position in the captured data


Phase  Data                                                                                                    Cmd.Phase.Ofs(rep)
IN     28                                                                                                          1801.1.0        
IN     00                                                                                                          1802.1.0(2)     
IN     05                                                                                                          1804.1.0        
IN     00                                                                                                          1805.1.0        
IN     ff                                                                                                          1806.1.0(8)     
IN     01                                                                                                          1814.1.0        
IN     ff                                                                                                          1815.1.0        
IN     00                                                                                                          1816.1.0(4)     
IN     37                                                                                                          1820.1.0        
IN     0b                                                                                                          1821.1.0        
IN     0d                                                                                                          1822.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      1823.1.0        
       01 0d                                                                                                       1823.1.32       
IN     7e                                                                                                          1824.1.0        
IN     9d                                                                                                          1825.1.0        
IN     32                                                                                                          1826.1.0        
IN     81                                                                                                          1827.1.0        
IN     10                                                                                                          1828.1.0        
IN     16                                                                                                          1829.1.0        
IN     04                                                                                                          1830.1.0        
IN     05                                                                                                          1831.1.0        
IN     02                                                                                                          1832.1.0        
IN     17                                                                                                          1833.1.0        
IN     45                                                                                                          1834.1.0        
IN     35                                                                                                          1835.1.0        
IN     28                                                                                                          1836.1.0        
IN     00                                                                                                          1837.1.0(2)     
IN     05                                                                                                          1839.1.0        
IN     00                                                                                                          1840.1.0        
IN     ff                                                                                                          1841.1.0(8)     
IN     01                                                                                                          1849.1.0        
IN     ff                                                                                                          1850.1.0        
IN     00                                                                                                          1851.1.0(4)     
IN     37                                                                                                          1855.1.0        
IN     0b                                                                                                          1856.1.0        
IN     0d                                                                                                          1857.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      1858.1.0        
       01 0d                                                                                                       1858.1.32       
IN     7e                                                                                                          1859.1.0        
IN     9d                                                                                                          1860.1.0        
IN     32                                                                                                          1861.1.0        
IN     81                                                                                                          1862.1.0        
IN     10                                                                                                          1863.1.0        
IN     16                                                                                                          1864.1.0        
IN     04                                                                                                          1865.1.0        
IN     05                                                                                                          1866.1.0        
IN     02                                                                                                          1867.1.0        
IN     17                                                                                                          1868.1.0        
IN     45                                                                                                          1869.1.0        
IN     35                                                                                                          1870.1.0        
IN     28                                                                                                          1871.1.0        
IN     00                                                                                                          1872.1.0(2)     
IN     05                                                                                                          1874.1.0        
IN     00                                                                                                          1875.1.0        
IN     ff                                                                                                          1876.1.0(8)     
IN     01                                                                                                          1884.1.0        
IN     ff                                                                                                          1885.1.0        
IN     00                                                                                                          1886.1.0(4)     
IN     37                                                                                                          1890.1.0        
IN     0b                                                                                                          1891.1.0        
IN     0d                                                                                                          1892.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      1893.1.0        
       01 0d                                                                                                       1893.1.32       
IN     7e                                                                                                          1894.1.0        
IN     9d                                                                                                          1895.1.0        
IN     32                                                                                                          1896.1.0        
IN     81                                                                                                          1897.1.0        
IN     10                                                                                                          1898.1.0        
IN     16                                                                                                          1899.1.0        
IN     04                                                                                                          1900.1.0        
IN     05                                                                                                          1901.1.0        
IN     02                                                                                                          1902.1.0        
IN     17                                                                                                          1903.1.0        
IN     45                                                                                                          1904.1.0        
IN     35                                                                                                          1905.1.0        
IN     28                                                                                                          1906.1.0        
IN     00                                                                                                          1907.1.0(2)     
IN     05                                                                                                          1909.1.0        
IN     00                                                                                                          1910.1.0        
IN     ff                                                                                                          1911.1.0(9)     
IN     00                                                                                                          1919.1.0(5)     
IN     36                                                                                                          1925.1.0        
IN     0b                                                                                                          1926.1.0        
IN     0d                                                                                                          1927.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      1928.1.0        
       01 0d                                                                                                       1928.1.32       
IN     7e                                                                                                          1929.1.0        
IN     9d                                                                                                          1930.1.0        
IN     32                                                                                                          1931.1.0        
IN     81                                                                                                          1932.1.0        
IN     10                                                                                                          1933.1.0        
IN     16                                                                                                          1934.1.0        
IN     04                                                                                                          1935.1.0        
IN     05                                                                                                          1936.1.0        
IN     02                                                                                                          1937.1.0        
IN     17                                                                                                          1938.1.0        
IN     45                                                                                                          1939.1.0        
IN     37                                                                                                          1940.1.0        
IN     28                                                                                                          1941.1.0        
IN     00                                                                                                          1942.1.0(2)     
IN     05                                                                                                          1944.1.0        
IN     00                                                                                                          1945.1.0        
IN     ff                                                                                                          1946.1.0(9)     
IN     00                                                                                                          1954.1.0(5)     
IN     38                                                                                                          1960.1.0        
IN     0b                                                                                                          1961.1.0        
IN     0d                                                                                                          1962.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      1963.1.0        
       01 0d                                                                                                       1963.1.32       
IN     7e                                                                                                          1964.1.0        
IN     9d                                                                                                          1965.1.0        
IN     32                                                                                                          1966.1.0        
IN     81                                                                                                          1967.1.0        
IN     10                                                                                                          1968.1.0        
IN     16                                                                                                          1969.1.0        
IN     04                                                                                                          1970.1.0        
IN     05                                                                                                          1971.1.0        
IN     02                                                                                                          1972.1.0        
IN     17                                                                                                          1973.1.0        
IN     45                                                                                                          1974.1.0        
IN     37                                                                                                          1975.1.0        
IN     28                                                                                                          1976.1.0        
IN     00                                                                                                          1977.1.0(2)     
IN     05                                                                                                          1979.1.0        
IN     00                                                                                                          1980.1.0        
IN     ff                                                                                                          1981.1.0(9)     
IN     00                                                                                                          1989.1.0(5)     
IN     38                                                                                                          1995.1.0        
IN     0b                                                                                                          1996.1.0        
IN     0d                                                                                                          1997.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      1998.1.0        
       01 0d                                                                                                       1998.1.32       
IN     7e                                                                                                          1999.1.0        
IN     9d                                                                                                          2000.1.0        
IN     32                                                                                                          2001.1.0        
IN     81                                                                                                          2002.1.0        
IN     10                                                                                                          2003.1.0        
IN     16                                                                                                          2004.1.0        
IN     04                                                                                                          2005.1.0        
IN     05                                                                                                          2006.1.0        
IN     02                                                                                                          2007.1.0        
IN     17                                                                                                          2008.1.0        
IN     45                                                                                                          2009.1.0        
IN     37                                                                                                          2010.1.0        
IN     28                                                                                                          2011.1.0        
IN     00                                                                                                          2012.1.0(2)     
IN     05                                                                                                          2014.1.0        
IN     00                                                                                                          2015.1.0        
IN     ff                                                                                                          2016.1.0(9)     
IN     00                                                                                                          2024.1.0(5)     
IN     38                                                                                                          2030.1.0        
IN     0b                                                                                                          2031.1.0        
IN     0d                                                                                                          2032.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2033.1.0        
       01 0d                                                                                                       2033.1.32       
IN     7e                                                                                                          2034.1.0        
IN     9d                                                                                                          2035.1.0        
IN     32                                                                                                          2036.1.0        
IN     81                                                                                                          2037.1.0        
IN     10                                                                                                          2038.1.0        
IN     16                                                                                                          2039.1.0        
IN     04                                                                                                          2040.1.0        
IN     05                                                                                                          2041.1.0        
IN     02                                                                                                          2042.1.0        
IN     17                                                                                                          2043.1.0        
IN     45                                                                                                          2044.1.0        
IN     37                                                                                                          2045.1.0        
IN     28                                                                                                          2046.1.0        
IN     00                                                                                                          2047.1.0(2)     
IN     05                                                                                                          2049.1.0        
IN     00                                                                                                          2050.1.0        
IN     ff                                                                                                          2051.1.0(9)     
IN     00                                                                                                          2059.1.0(5)     
IN     38                                                                                                          2065.1.0        
IN     0b                                                                                                          2066.1.0        
IN     0d                                                                                                          2067.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2068.1.0        
       01 0d                                                                                                       2068.1.32       
IN     7e                                                                                                          2069.1.0        
IN     9d                                                                                                          2070.1.0        
IN     32                                                                                                          2071.1.0        
IN     81                                                                                                          2072.1.0        
IN     10                                                                                                          2073.1.0        
IN     16                                                                                                          2074.1.0        
IN     04                                                                                                          2075.1.0        
IN     05                                                                                                          2076.1.0        
IN     02                                                                                                          2077.1.0        
IN     17                                                                                                          2078.1.0        
IN     45                                                                                                          2079.1.0        
IN     39                                                                                                          2080.1.0        
IN     28                                                                                                          2081.1.0        
IN     00                                                                                                          2082.1.0(2)     
IN     05                                                                                                          2084.1.0        
IN     00                                                                                                          2085.1.0        
IN     ff                                                                                                          2086.1.0(9)     
IN     00                                                                                                          2094.1.0(5)     
IN     3a                                                                                                          2100.1.0        
IN     0b                                                                                                          2101.1.0        
IN     0d                                                                                                          2102.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2103.1.0        
       01 0d                                                                                                       2103.1.32       
IN     7e                                                                                                          2104.1.0        
IN     9d                                                                                                          2105.1.0        
IN     32                                                                                                          2106.1.0        
IN     81                                                                                                          2107.1.0        
IN     10                                                                                                          2108.1.0        
IN     16                                                                                                          2109.1.0        
IN     04                                                                                                          2110.1.0        
IN     05                                                                                                          2111.1.0        
IN     02                                                                                                          2112.1.0        
IN     17                                                                                                          2113.1.0        
IN     45                                                                                                          2114.1.0        
IN     39                                                                                                          2115.1.0        
IN     28                                                                                                          2116.1.0        
IN     00                                                                                                          2117.1.0(2)     
IN     05                                                                                                          2119.1.0        
IN     00                                                                                                          2120.1.0        
IN     ff                                                                                                          2121.1.0(9)     
IN     00                                                                                                          2129.1.0(5)     
IN     3a                                                                                                          2135.1.0        
IN     0b                                                                                                          2136.1.0        
IN     0d                                                                                                          2137.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2138.1.0        
       01 0d                                                                                                       2138.1.32       
IN     7e                                                                                                          2139.1.0        
IN     9d                                                                                                          2140.1.0        
IN     32                                                                                                          2141.1.0        
IN     81                                                                                                          2142.1.0        
IN     10                                                                                                          2143.1.0        
IN     16                                                                                                          2144.1.0        
IN     04                                                                                                          2145.1.0        
IN     05                                                                                                          2146.1.0        
IN     02                                                                                                          2147.1.0        
IN     17                                                                                                          2148.1.0        
IN     45                                                                                                          2149.1.0        
IN     39                                                                                                          2150.1.0        
IN     28                                                                                                          2151.1.0        
IN     00                                                                                                          2152.1.0(2)     
IN     05                                                                                                          2154.1.0        
IN     00                                                                                                          2155.1.0        
IN     ff                                                                                                          2156.1.0(9)     
IN     00                                                                                                          2164.1.0(5)     
IN     3a                                                                                                          2170.1.0        
IN     0b                                                                                                          2171.1.0        
IN     0d                                                                                                          2172.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2173.1.0        
       01 0d                                                                                                       2173.1.32       
IN     7e                                                                                                          2174.1.0        
IN     9d                                                                                                          2175.1.0        
IN     32                                                                                                          2176.1.0        
IN     81                                                                                                          2177.1.0        
IN     10                                                                                                          2178.1.0        
IN     16                                                                                                          2179.1.0        
IN     04                                                                                                          2180.1.0        
IN     05                                                                                                          2181.1.0        
IN     02                                                                                                          2182.1.0        
IN     17                                                                                                          2183.1.0        
IN     45                                                                                                          2184.1.0        
IN     39                                                                                                          2185.1.0        
IN     28                                                                                                          2186.1.0        
IN     00                                                                                                          2187.1.0(2)     
IN     05                                                                                                          2189.1.0        
IN     00                                                                                                          2190.1.0        
IN     ff                                                                                                          2191.1.0(9)     
IN     00                                                                                                          2199.1.0(5)     
IN     3a                                                                                                          2205.1.0        
IN     0b                                                                                                          2206.1.0        
IN     0d                                                                                                          2207.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2208.1.0        
       01 0d                                                                                                       2208.1.32       
IN     7e                                                                                                          2209.1.0        
IN     9d                                                                                                          2210.1.0        
IN     32                                                                                                          2211.1.0        
IN     81                                                                                                          2212.1.0        
IN     10                                                                                                          2213.1.0        
IN     16                                                                                                          2214.1.0        
IN     04                                                                                                          2215.1.0        
IN     05                                                                                                          2216.1.0        
IN     02                                                                                                          2217.1.0        
IN     17                                                                                                          2218.1.0        
IN     45                                                                                                          2219.1.0        
IN     41                                                                                                          2220.1.0        
IN     28                                                                                                          2221.1.0        
IN     00                                                                                                          2222.1.0(2)     
IN     05                                                                                                          2224.1.0        
IN     00                                                                                                          2225.1.0        
IN     ff                                                                                                          2226.1.0(9)     
IN     00                                                                                                          2234.1.0(5)     
IN     42                                                                                                          2240.1.0        
IN     0b                                                                                                          2241.1.0        
IN     0d                                                                                                          2242.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2243.1.0        
       01 0d                                                                                                       2243.1.32       
IN     7e                                                                                                          2244.1.0        
IN     9d                                                                                                          2245.1.0        
IN     32                                                                                                          2246.1.0        
IN     81                                                                                                          2247.1.0        
IN     10                                                                                                          2248.1.0        
IN     16                                                                                                          2249.1.0        
IN     04                                                                                                          2250.1.0        
IN     05                                                                                                          2251.1.0        
IN     02                                                                                                          2252.1.0        
IN     17                                                                                                          2253.1.0        
IN     45                                                                                                          2254.1.0        
IN     41                                                                                                          2255.1.0        
IN     28                                                                                                          2256.1.0        
IN     00                                                                                                          2257.1.0(2)     
IN     05                                                                                                          2259.1.0        
IN     00                                                                                                          2260.1.0        
IN     ff                                                                                                          2261.1.0(9)     
IN     00                                                                                                          2269.1.0(5)     
IN     42                                                                                                          2275.1.0        
IN     0b                                                                                                          2276.1.0        
IN     0d                                                                                                          2277.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2278.1.0        
       01 0d                                                                                                       2278.1.32       
IN     7e                                                                                                          2279.1.0        
IN     9d                                                                                                          2280.1.0        
IN     32                                                                                                          2281.1.0        
IN     81                                                                                                          2282.1.0        
IN     10                                                                                                          2283.1.0        
IN     16                                                                                                          2284.1.0        
IN     04                                                                                                          2285.1.0        
IN     05                                                                                                          2286.1.0        
IN     02                                                                                                          2287.1.0        
IN     17                                                                                                          2288.1.0        
IN     45                                                                                                          2289.1.0        
IN     41                                                                                                          2290.1.0        
IN     28                                                                                                          2291.1.0        
IN     00                                                                                                          2292.1.0(2)     
IN     05                                                                                                          2294.1.0        
IN     00                                                                                                          2295.1.0        
IN     ff                                                                                                          2296.1.0(9)     
IN     00                                                                                                          2304.1.0(5)     
IN     42                                                                                                          2310.1.0        
IN     0b                                                                                                          2311.1.0        
IN     0d                                                                                                          2312.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      2313.1.0        
       01 0d                                                                                                       2313.1.32       
IN     7e                                                                                                          2314.1.0        
IN     9d                                                                                                          2315.1.0        
